Disciplina;Creditos;Horario;Professor;Vagas;Inscritos;Sobrando
DEF0212 (20262NO) - Teoria da Tributação: Aspectos Econômicos (Período ideal: 4);2;qui 20:00 21:35;(R) Roberto Quiroga Mosquera;96;206;-110
DEF0324 (20262DI) - Direito Urbanístico (Período ideal: 6);2;sex 09:15 11:00;(R) Luís Fernando Massonetto;22;22;0
DEF0324 (20262NO) - Direito Urbanístico (Período ideal: 6);2;sex 18:20 19:55;(R) Luís Fernando Massonetto;96;126;-30
DEF0328 (20262DI) - Federalismo Fiscal (Período ideal: 6);2;qui 07:25 09:00;(R) José Mauricio Conti;12;22;-10
DEF0338 (20262TA) - Direito Tributário Internacional (Período ideal: 6);2;ter 16:20 17:55;(R) Luis Eduardo Schoueri;60;57;3
DEF0436 (20262DI) - Direito Desportivo (Período ideal: 8);2;sex 09:15 11:00;(R) Heleno Taveira Torres;12;41;-29
DEF0450 (20262DI) - Direito Financeiro e Políticas Públicas (Período ideal: 8);2;qui 09:15 11:00;(R) José Mauricio Conti;12;10;2
DEF0462 (20262NO) - Mudanças climáticas e sua disciplina jurídica (Período ideal: 8);2;qua 18:20 19:55;(R) Ana Maria de Oliveira Nusdeo;44;45;-1
DEF0528 (20262NO) - Direito Financeiro Aplicado (Período ideal: 10);2;seg 18:20 19:55;(R) Estevao Horvath;48;32;16
DEF0540 (20262DI) - Tributos Estaduais e Municipais (Período ideal: 8);4;seg 09:15 12:50;(R) Paulo Ayres Barreto;25;25;0
DEF0540 (20262NO) - Tributos Estaduais e Municipais (Período ideal: 8);4;seg 18:20 21:35;(R) Paulo Ayres Barreto;72;47;25
DEF0546 (20262DI) - Direito Processual Tributário. (Período ideal: 10);2;qui 07:25 09:00;(R) Andre Mendes Moreira;18;13;5
DEF0546 (20262NO) - Direito Processual Tributário. (Período ideal: 10);2;qua 18:20 19:55;(R) Andre Mendes Moreira;72;39;33
DES0124 (20262DI) - Teoria do Estado Brasileiro I (Período ideal: 2);2;qua 11:15 12:50;(R) Sebastiao Botto de Barros Tojal;12;48;-36
